student_id,name,program,year
128,Jason Powell,Computer Science,Senior
129,Cameron Fisher,Finance,Sophomore
130,Megan Orr,Marketing,Sophomore
131,Elizabeth Kelley,Computer Science,Sophomore
132,Dustin Jordan,Mechanical Engineering,Senior
133,Mary Marshall,Computer Science,Sophomore
134,Daniel Kennedy,Information Technology,Sophomore
135,Rebecca Jackson,Psychology,Junior
136,Jose Schultz,Information Technology,Senior
137,Robert Potter,Mathematics,Junior
138,Courtney Gonzalez,Electrical Engineering,Junior
139,David Alvarez,Mathematics,Senior
140,Angel Perry,Data Science,Senior
141,Cheyenne Horton,Marketing,Senior
142,David Douglas Jr.,Economics,Sophomore
143,Patricia Rodriguez,Civil Engineering,Junior
144,Christopher Rubio,Civil Engineering,Junior
145,Amber Wright,Mathematics,Sophomore
146,Joyce Solis,Information Technology,Senior
147,Victoria Larson,Biology,Junior
148,Stephanie Salazar,Biology,Junior
149,Kathy Rivas,Economics,Senior
150,Stephanie Manning,Computer Science,Senior
151,David Wright,Electrical Engineering,Senior
152,Pamela Boyd,Information Technology,Sophomore
153,Denise Jones,Biology,Senior
154,Devon Flores,Chemistry,Sophomore
155,Brenda Hall,Mathematics,Sophomore
156,Michelle Brown,Mathematics,Senior
157,Joshua Perry,Economics,Sophomore
158,Jason Stein,Biology,Sophomore
159,Melissa Gates,Physics,Junior
160,Jamie Smith,Mathematics,Sophomore
161,Paul Castaneda,Economics,Senior
162,Jennifer Adkins,Information Technology,Sophomore
163,Lindsey Walker,Electrical Engineering,Senior
164,Jeffrey Johnson,Psychology,Sophomore
165,Michael Powell,Information Technology,Sophomore
166,John Anderson,Data Science,Junior
167,Alyssa Long,Economics,Junior
168,Alyssa Day,Mathematics,Junior
169,Joel Williams,Computer Science,Sophomore
170,Daniel Murphy,Biology,Sophomore
171,Jamie Walton,Biology,Junior
172,Darlene Miller,Civil Engineering,Junior
173,Joshua Cooke,Physics,Junior
174,Matthew Harrington,Mechanical Engineering,Senior
175,Nicole Herring,Civil Engineering,Senior
176,Alex Hernandez,Electrical Engineering,Senior
177,Michael Elliott,Economics,Sophomore
178,Michael Wang,Mathematics,Junior
179,Lawrence Adkins,Mathematics,Sophomore
180,Robert Oconnell,Marketing,Senior
181,Alexander Collins,Finance,Sophomore
182,Tina Sanders,Mechanical Engineering,Junior
183,Angela Vaughn,Computer Science,Sophomore
184,Ashley Barton,Marketing,Junior
185,Lindsay Martinez,Finance,Senior
186,Dr. Hannah Patterson,Data Science,Sophomore
187,Jonathan Peterson,Finance,Sophomore
188,Samantha Garcia,Psychology,Sophomore
189,Madison Poole,Information Technology,Senior
190,Jessica Gross,Information Technology,Senior
191,Debra Morton,Psychology,Sophomore
192,Karen Graham,Biology,Sophomore
193,Debra Christian,Marketing,Sophomore
194,Angelica Keith,Marketing,Senior
195,John Bishop,Computer Science,Senior
196,Allen Rosales,Information Technology,Junior
197,Daniel Salinas,Electrical Engineering,Senior
198,Spencer Haynes,Marketing,Senior
199,Adam Vaughan,Chemistry,Junior
200,Nathan Freeman,Mathematics,Senior
201,Melissa Brewer,Mechanical Engineering,Junior
202,Ricky Davis II,Mathematics,Junior
203,Elizabeth Perkins,Biology,Sophomore
204,Joseph Coleman,Electrical Engineering,Senior
205,Erin Warner,Physics,Junior
206,David Martinez,Chemistry,Sophomore
207,Bryan Herrera,Computer Science,Junior
208,Cathy Robinson,Marketing,Senior
209,Dr. William Warren,Information Technology,Sophomore
210,Brian Lee,Finance,Sophomore
211,Christopher Smith,Finance,Junior
212,Denise Mccann,Data Science,Junior
213,Melissa Martinez,Information Technology,Sophomore
214,Katherine Salas,Chemistry,Junior
215,Julie Alexander,Data Science,Junior
216,Anthony Everett,Psychology,Senior
217,Rodney Morales,Mechanical Engineering,Junior
218,Mark Brown,Marketing,Senior
219,Justin Torres,Finance,Sophomore
220,Bailey Duran DDS,Electrical Engineering,Senior
221,Courtney Mills,Physics,Senior
222,Jeremy Dalton,Information Technology,Sophomore
223,Elizabeth Oliver DDS,Physics,Sophomore
224,Theresa Clark,Information Technology,Senior
225,Matthew Moore,Finance,Sophomore
226,Benjamin Smith,Physics,Junior
227,Kirk Carter,Marketing,Sophomore
228,Michael Warner,Mechanical Engineering,Junior
229,Michael Bradshaw,Mathematics,Senior
230,Lori Guerrero,Electrical Engineering,Junior
231,Jessica Stephens,Finance,Junior
232,Susan Serrano,Physics,Sophomore
233,Christopher Parker,Information Technology,Senior
234,Laura Roberts,Biology,Junior
235,Michael Lyons,Computer Science,Sophomore
236,Kathryn Snyder,Chemistry,Sophomore
237,Andrew Reynolds,Electrical Engineering,Junior
238,David Davis,Data Science,Senior
239,Sara Johnston,Economics,Senior
240,Yvonne Chambers,Mechanical Engineering,Junior
241,Andrew Avila,Finance,Sophomore
242,Matthew Moon,Information Technology,Sophomore
243,Kevin Walters,Mechanical Engineering,Sophomore
244,Brandon Bailey MD,Finance,Sophomore
245,Shannon Rivera,Psychology,Junior
246,Donna Landry,Marketing,Senior
247,Krista Gibson,Data Science,Junior
248,Frank Cordova,Data Science,Sophomore
249,Jose Travis,Physics,Junior
250,Kimberly Gutierrez,Civil Engineering,Sophomore
251,Isaiah Avila,Chemistry,Sophomore
252,Olivia Harris,Electrical Engineering,Sophomore
253,Tanya Kim,Electrical Engineering,Sophomore
254,Barbara Dudley,Chemistry,Senior
255,Cynthia Moore,Psychology,Junior
256,Kristen Davis,Marketing,Senior
257,Susan Murray MD,Data Science,Sophomore
258,Kathleen Moran,Psychology,Sophomore
259,Denise Davenport,Civil Engineering,Sophomore
260,Mrs. Kristen Reyes,Biology,Sophomore
261,Katie Suarez,Data Science,Senior
262,Desiree Tyler,Chemistry,Junior
263,Timothy Romero,Civil Engineering,Senior
264,Diane Evans,Psychology,Senior
265,Yvonne Burns,Civil Engineering,Sophomore
266,Joshua Reed,Physics,Sophomore
267,Kimberly Gibson,Civil Engineering,Senior
268,Colin Terry,Information Technology,Junior
269,Cynthia Rowe,Psychology,Sophomore
270,Patrick Thornton,Psychology,Junior
271,Jasmin Alvarado,Mathematics,Sophomore
272,Veronica Simpson,Psychology,Junior
273,Jonathan Lawrence,Chemistry,Junior
274,Shelly Alexander,Psychology,Sophomore
275,Joyce Bowen,Mathematics,Sophomore
276,Matthew Moore,Electrical Engineering,Sophomore
277,Wayne Morgan,Biology,Junior
278,Marie Christian,Physics,Sophomore
279,Shannon James,Civil Engineering,Junior
280,Nathan Malone,Chemistry,Senior
281,Amanda Jones,Finance,Junior
282,Tammie Bright,Electrical Engineering,Senior
283,Jessica Garcia,Chemistry,Sophomore
284,Shelia Wallace,Information Technology,Junior
285,Stephanie Williams,Data Science,Senior
286,Elaine Brooks,Physics,Sophomore
287,Joseph Knight,Information Technology,Senior
288,Carolyn Miller,Biology,Junior
289,Lisa Allen,Mechanical Engineering,Junior
290,Briana Murray,Biology,Senior
291,David Smith,Finance,Sophomore
292,Stephanie Byrd,Biology,Senior
293,Jeremy Reed,Mathematics,Junior
294,Margaret Coleman,Computer Science,Senior
295,Ryan Gonzalez,Biology,Sophomore
296,John Young,Finance,Senior
297,Laura Haney,Electrical Engineering,Senior
298,William Barrett,Mechanical Engineering,Senior
299,Keith Jennings,Electrical Engineering,Sophomore
300,Amber Obrien,Chemistry,Junior
301,Tanner Mitchell DDS,Information Technology,Senior
302,Heather Fields,Chemistry,Senior
303,Megan Le,Chemistry,Senior
304,Sara Fuller,Psychology,Sophomore
305,Maria Parker,Mechanical Engineering,Junior
306,Kevin Oconnor,Finance,Junior
307,Edward Burgess,Electrical Engineering,Junior
308,Carlos Ryan,Chemistry,Junior
309,Kiara Mcintyre,Mechanical Engineering,Junior
310,Dawn Summers,Finance,Sophomore
311,Dr. Paul Morgan,Mathematics,Junior
312,Victor Taylor,Electrical Engineering,Junior
313,Shannon Ramsey,Electrical Engineering,Senior
314,Tracy Ballard,Data Science,Senior
315,Richard Smith,Marketing,Junior
316,Jordan Chambers,Biology,Senior
317,Lauren Carson,Psychology,Sophomore
318,Ashley Hall,Physics,Junior
319,Stephen Hoffman,Mathematics,Junior
320,Connie Brown,Civil Engineering,Senior
321,Susan Turner,Marketing,Senior
322,Charles Shah,Chemistry,Junior
323,Johnathan Davis,Economics,Junior
324,Brandy Chavez,Electrical Engineering,Sophomore
325,Natalie Bautista,Finance,Junior
326,Patrick Moore,Civil Engineering,Senior
327,Brett Burns,Data Science,Senior
328,Trevor Johnson,Information Technology,Junior
329,Jeremy Sampson,Finance,Senior
330,Ariana Jennings,Electrical Engineering,Senior
331,Vanessa Howard,Chemistry,Sophomore
332,Colton Martinez,Psychology,Sophomore
333,Jordan Bates,Electrical Engineering,Junior
334,Linda Smith,Mathematics,Sophomore
335,Dana Martinez,Data Science,Sophomore
336,Andrea Hubbard,Computer Science,Sophomore
337,Daniel Kane,Economics,Senior
338,Charles Lester,Psychology,Sophomore
339,Scott Thomas,Economics,Junior
340,David Thompson,Electrical Engineering,Senior
341,Allison Smith,Mathematics,Senior
342,Cynthia Morris,Mechanical Engineering,Junior
343,Anthony Harmon,Economics,Junior
344,Nichole Alvarez,Mathematics,Sophomore
345,Kayla Rodriguez,Electrical Engineering,Senior
346,Theresa Williams,Computer Science,Sophomore
347,Sharon Boyd,Civil Engineering,Junior
348,Victor Brown,Mathematics,Sophomore
349,James Parks,Civil Engineering,Senior
350,Theodore Jones Jr.,Finance,Junior
351,Ana Hill,Computer Science,Senior
352,Kimberly Nguyen,Mathematics,Sophomore
353,Kerry Chavez DDS,Economics,Sophomore
354,Michael Farrell,Civil Engineering,Junior
355,Patricia Le,Electrical Engineering,Senior
356,Jesse Perez,Finance,Senior
357,Jesse Perry,Chemistry,Junior
358,Jeffery Ortega,Marketing,Senior
359,Christian Leblanc,Finance,Junior
360,Ronald Davis,Psychology,Senior
361,Parker Cain,Economics,Sophomore
362,Laurie Hoffman,Mechanical Engineering,Junior
363,Bryan Gomez,Economics,Junior
364,Nicole Parrish,Civil Engineering,Sophomore
365,Tracy Burke,Psychology,Senior
366,Kenneth Lewis,Physics,Senior
367,Courtney Rodriguez,Economics,Senior
368,Holly Farmer,Mathematics,Junior
369,Renee Bruce,Economics,Sophomore
370,Sabrina Austin,Mechanical Engineering,Junior
371,Allison Hickman,Mathematics,Junior
372,Debra White,Chemistry,Junior
373,Ellen Morgan,Finance,Sophomore
374,Sergio Knight,Data Science,Sophomore
375,Charles Schultz,Mathematics,Junior
376,Paul Lewis,Mechanical Engineering,Sophomore
377,Glen Wood,Mechanical Engineering,Sophomore
378,Paula Bradley,Information Technology,Junior
379,Anthony Moore,Biology,Junior
380,Megan Nelson,Finance,Junior
381,Karla Ramos,Biology,Sophomore
382,Paul Wilson,Mathematics,Junior
383,Douglas Gregory,Biology,Senior
384,Mr. Andrew Foster,Mechanical Engineering,Sophomore
385,Aimee Turner,Psychology,Senior
386,Chad Scott,Biology,Junior
387,Adam Burgess,Computer Science,Junior
388,James Padilla,Physics,Junior
389,Sandra Drake,Psychology,Junior
390,Scott Williams,Finance,Senior
391,Thomas Atkins,Mechanical Engineering,Senior
392,Laura Mckinney,Civil Engineering,Senior
393,Brian Smith,Mathematics,Junior
394,Robert Montgomery,Mathematics,Junior
395,Tamara Davis,Biology,Junior
396,Dana Chapman,Computer Science,Junior
397,Jennifer Collins,Chemistry,Senior
398,Gary Jackson,Electrical Engineering,Junior
399,Ashley Hicks,Mechanical Engineering,Sophomore
400,Hannah Luna,Psychology,Junior
401,Robin Young,Data Science,Senior
402,Craig Morrison,Finance,Sophomore
403,Mary Thompson,Biology,Senior
404,Kathleen Webster,Marketing,Senior
405,Joann Glass,Computer Science,Sophomore
406,Madison Weber,Electrical Engineering,Junior
407,Lori Hernandez,Data Science,Junior
408,Jeremy Turner,Data Science,Sophomore
409,Anthony Romero,Physics,Junior
410,Jesse Brown,Chemistry,Sophomore
411,Angela Lin,Economics,Junior
412,Lisa Hunter,Chemistry,Junior
413,Julian Conner,Physics,Junior
414,Joanna Pacheco,Physics,Sophomore
415,Erica Alvarez,Economics,Sophomore
416,Antonio Garcia,Mechanical Engineering,Senior
417,Gwendolyn Klein,Computer Science,Junior
418,Carrie Wright,Mathematics,Senior
419,Jeffrey Mills,Information Technology,Senior
420,Jake Campbell,Computer Science,Sophomore
421,George Harper,Mathematics,Sophomore
422,Maria Jones,Psychology,Sophomore
423,Michael Mitchell,Marketing,Sophomore
424,Mary Escobar,Mathematics,Sophomore
425,Felicia Aguilar,Economics,Senior
426,Gregory Ponce,Information Technology,Senior
427,Jenna Larson,Mathematics,Junior
428,Emily Bennett,Mechanical Engineering,Junior
429,Robin Santiago,Civil Engineering,Junior
430,Nancy Jennings,Data Science,Senior
431,Maria Henderson,Marketing,Senior
432,Jack White,Mechanical Engineering,Sophomore
433,Travis Tucker,Civil Engineering,Sophomore
434,Chad Jones,Physics,Sophomore
435,Ashley Wise,Marketing,Sophomore
436,Sophia Johnson,Physics,Senior
437,Ralph Anderson,Electrical Engineering,Junior
438,Christopher Guerra,Biology,Senior
439,Rhonda Martin,Mathematics,Sophomore
440,Jason Rhodes,Marketing,Senior
441,Jeremy Mitchell,Psychology,Senior
442,Joann Ferguson,Mathematics,Sophomore
443,Robert Harrison,Mechanical Engineering,Junior
444,Holly Valentine,Psychology,Senior
445,Mrs. Diane Reyes,Marketing,Sophomore
446,Tracy Montoya,Civil Engineering,Senior
447,Brenda Wright,Civil Engineering,Sophomore
448,Shelly Spencer,Chemistry,Senior
449,Ryan Rosales,Biology,Senior
450,Phillip Nelson,Chemistry,Sophomore
451,Brittany Kim,Finance,Senior
452,Courtney Hayes,Chemistry,Sophomore
453,Alexander Brown,Psychology,Junior
454,Cynthia Vang,Psychology,Junior
455,Alfred Galvan,Information Technology,Junior
456,Marie Moody,Chemistry,Senior
457,Dustin Gallegos,Psychology,Junior
458,Brenda Thornton,Mechanical Engineering,Sophomore
459,Aaron Miller,Biology,Sophomore
460,Ruben Dunn,Mechanical Engineering,Senior
461,Kelsey Rodriguez,Electrical Engineering,Junior
462,Eric Williams,Marketing,Senior
463,Riley Bryant,Civil Engineering,Junior
464,Taylor Carlson,Economics,Junior
465,Jose Allen,Psychology,Senior
466,Jeffrey Mendez,Marketing,Junior
467,Jason Beck,Chemistry,Sophomore
468,William Jones,Psychology,Sophomore
469,Katie Mcneil,Physics,Junior
470,Jeanette Harrison,Mathematics,Junior
471,Veronica King,Marketing,Senior
472,Richard Cooper,Electrical Engineering,Junior
473,Lori Ingram,Chemistry,Sophomore
474,Evelyn Williams,Economics,Junior
475,Robin Thompson,Data Science,Junior
476,Julie Dominguez,Mathematics,Junior
477,Robin Brown,Civil Engineering,Junior
478,Judith Carter,Chemistry,Junior
479,Curtis Williams,Marketing,Senior
480,Kaylee Hays,Physics,Senior
481,Dawn Mullins,Computer Science,Senior
482,Howard Norman,Mathematics,Sophomore
483,Evelyn Martinez,Mathematics,Senior
484,Steve Paul,Biology,Junior
485,Jasmine Beltran,Finance,Sophomore
486,Jonathan Glass MD,Mechanical Engineering,Junior
487,Monica Miller,Electrical Engineering,Senior
488,Samantha Gardner,Economics,Junior
489,Bobby Guerrero,Civil Engineering,Sophomore
490,Lance Simmons,Information Technology,Junior
491,Heather Williams,Mathematics,Junior
492,Heather Bolton,Mechanical Engineering,Sophomore
493,William Gould,Physics,Senior
494,Mark Cox,Marketing,Junior
495,Meghan Cisneros,Economics,Senior
496,Lawrence Harrington,Finance,Junior
497,Austin Osborne,Biology,Senior
498,James Bradley,Finance,Junior
499,Meghan Rush,Chemistry,Senior
500,Phillip Berry,Economics,Junior
501,Jennifer Banks,Physics,Junior
502,Brian Fitzgerald,Mathematics,Sophomore
503,Mr. Justin Green III,Mechanical Engineering,Sophomore
504,Zachary Mitchell,Chemistry,Sophomore
505,Katherine Martinez,Mechanical Engineering,Senior
506,Jodi Roach,Civil Engineering,Senior
507,Brandon Fleming,Data Science,Sophomore
508,Emma Reed,Mathematics,Senior
509,Joshua Vance,Economics,Junior
510,Michelle Ho,Mechanical Engineering,Senior
511,Rebecca Hicks,Civil Engineering,Senior
512,Curtis Taylor,Marketing,Junior
513,Allison Spencer,Information Technology,Sophomore
514,Robert Arnold,Physics,Sophomore
515,Angelica Parker,Chemistry,Sophomore
516,Dr. Kelly Hammond DVM,Physics,Sophomore
517,William Day,Mechanical Engineering,Senior
518,Michael Cooper,Data Science,Junior
519,Penny Bowman,Computer Science,Sophomore
520,Vincent Reynolds,Finance,Junior
521,Amy Martinez,Mechanical Engineering,Sophomore
522,Christopher Morris,Electrical Engineering,Junior
523,Hannah Everett,Information Technology,Sophomore
524,Sarah King,Marketing,Junior
525,Krista Martinez,Economics,Junior
526,Joseph Shaw,Economics,Junior
527,Todd Moore,Data Science,Sophomore
528,Michelle Jacobs,Physics,Junior
529,Kristy Bryan,Information Technology,Sophomore
530,Angel May,Biology,Junior
531,Marilyn Wang,Information Technology,Senior
532,Mark Jimenez,Electrical Engineering,Senior
533,Donna Frye,Computer Science,Sophomore
534,Dr. Michael Evans,Data Science,Senior
535,Anthony Gonzales,Physics,Sophomore
536,Mr. Lawrence Edwards,Mathematics,Sophomore
537,Morgan Valencia,Finance,Junior
538,Bianca Wood,Marketing,Senior
539,Emma Owens,Civil Engineering,Senior
540,David Davis,Mathematics,Senior
541,James Gilbert,Biology,Junior
542,Sean Moore,Economics,Junior
543,Kenneth Edwards,Psychology,Senior
544,Kathleen Robertson,Biology,Junior
545,Mr. Alexander Landry MD,Marketing,Senior
546,Cindy Gomez,Computer Science,Senior
547,Johnny Khan,Mechanical Engineering,Sophomore
548,Julie Herrera,Civil Engineering,Sophomore
549,Jessica Khan,Electrical Engineering,Sophomore
550,Pamela Diaz,Physics,Senior
551,Kelly Lee,Information Technology,Sophomore
552,Angel Gordon,Mathematics,Sophomore
553,Diana Hays,Finance,Sophomore
554,Barbara Hester,Data Science,Sophomore
555,Robert Morgan,Biology,Junior
556,Nicole Gonzalez,Mechanical Engineering,Senior
557,Kathryn Williams,Economics,Junior
558,Gary Wells,Computer Science,Sophomore
559,Larry Robertson,Physics,Senior
560,Louis Martin,Physics,Senior
561,Nancy Evans MD,Psychology,Junior
562,Kim Erickson,Information Technology,Senior
563,Robert Richardson,Mathematics,Junior
564,Veronica Silva,Civil Engineering,Senior
565,Molly Watts,Marketing,Senior
566,John Coffey,Civil Engineering,Sophomore
567,Paula Lane,Biology,Sophomore
568,Lauren Jackson,Finance,Sophomore
569,Lisa Randall,Electrical Engineering,Sophomore
570,Michael Johnson,Physics,Sophomore
571,Ashley Smith,Information Technology,Sophomore
572,Christian Vaughn,Data Science,Junior
573,Reginald Knapp,Marketing,Senior
574,Nancy Brown,Psychology,Senior
575,Daniel Nguyen,Physics,Junior
576,Kelly Edwards,Information Technology,Junior
577,Thomas Peterson,Mechanical Engineering,Junior
578,Raymond Le,Mechanical Engineering,Junior
579,Melissa Bishop,Physics,Senior
580,David Grant,Finance,Junior
581,William Evans,Economics,Sophomore
582,Daniel Bush,Marketing,Sophomore
583,Gregory Peck,Biology,Senior
584,Denise Martinez,Chemistry,Senior
585,Jamie Baird,Physics,Sophomore
586,Tina Ballard,Information Technology,Sophomore
587,Dwayne Klein,Electrical Engineering,Senior
588,Jeremy Scott,Marketing,Sophomore
589,Dale Ryan,Civil Engineering,Senior
590,Melissa Taylor,Psychology,Junior
591,Laurie Sanchez,Marketing,Sophomore
592,Kiara Little,Civil Engineering,Sophomore
593,Jason Love,Economics,Senior
594,Randy Smith,Electrical Engineering,Junior
595,Tanya Russell,Physics,Sophomore
596,Sherry Woods,Marketing,Junior
597,Victor Morris,Electrical Engineering,Junior
598,Susan Davis,Information Technology,Junior
599,Kimberly Sharp,Chemistry,Junior
600,Susan Thompson,Chemistry,Junior
601,Casey Gillespie,Electrical Engineering,Sophomore
602,Jennifer Simpson DVM,Psychology,Sophomore
603,Tammy Mcdowell,Chemistry,Junior
604,Keith Rodriguez,Mechanical Engineering,Junior
605,Mrs. Virginia Daniels,Physics,Senior
606,Todd Rosales MD,Biology,Senior
607,Brian Martin,Computer Science,Junior
608,David Lopez,Information Technology,Junior
609,Rachel Bradley,Physics,Junior
610,Casey Chase,Information Technology,Junior
611,Samantha Robertson,Psychology,Senior
612,Michael Lopez,Psychology,Sophomore
613,Franklin Wright,Electrical Engineering,Senior
614,David Molina,Economics,Junior
615,Elizabeth Sharp,Computer Science,Sophomore
616,Matthew Schwartz,Finance,Junior
617,Bryan Parker,Marketing,Junior
618,Jonathan Jacobson,Electrical Engineering,Junior
619,Emily Wilson,Civil Engineering,Sophomore
620,Elizabeth Mendez,Mathematics,Junior
621,Casey Hernandez,Finance,Sophomore
622,Lisa Perry,Physics,Junior
623,Kaitlin Medina,Mechanical Engineering,Junior
624,Colleen Wright,Information Technology,Sophomore
625,Shelley Miller,Electrical Engineering,Senior
626,Michael Miller,Civil Engineering,Sophomore
627,Amy Kelley,Mechanical Engineering,Sophomore
628,Laura Hernandez,Physics,Senior
629,Joseph Wilson,Computer Science,Senior
630,Kevin Davis,Biology,Sophomore
631,Rhonda Chavez,Mathematics,Sophomore
632,Joyce Brown,Economics,Sophomore
633,Robert Cummings,Electrical Engineering,Sophomore
634,Robert Reese,Economics,Senior
635,Amber Cooper,Physics,Senior
636,Zachary Michael,Mechanical Engineering,Junior
637,Timothy Johnson,Biology,Junior
638,Randy Cannon,Economics,Sophomore
639,Maria Fisher,Economics,Senior
640,Janet Kane DVM,Data Science,Junior
641,Michael Stanley,Mathematics,Senior
642,Martha Bailey,Finance,Senior
643,Joshua Rice,Data Science,Sophomore
644,Courtney Smith,Physics,Junior
645,Edwin Nunez,Chemistry,Senior
646,Kim Morrow,Physics,Sophomore
647,Gregory Hill,Physics,Senior
648,Molly Rodriguez,Physics,Senior
649,Jennifer Miranda,Marketing,Senior
650,Alexis Harris,Economics,Sophomore
651,Andrew Harper,Economics,Senior
652,Amber Yang,Economics,Junior
653,David Robinson,Chemistry,Senior
654,Amy Gordon,Civil Engineering,Senior
655,Robert Dennis,Biology,Junior
656,Kyle Chambers,Chemistry,Sophomore
657,Eric Thomas,Mechanical Engineering,Sophomore
658,Connie Turner,Marketing,Junior
659,Travis Hobbs,Mathematics,Junior
660,Lori Simmons,Computer Science,Junior
661,William David DDS,Mechanical Engineering,Junior
662,Emma Butler,Mechanical Engineering,Junior
663,James Webster,Biology,Senior
664,Samuel Turner,Civil Engineering,Senior
665,Renee Melendez,Data Science,Junior
